id,talent_id,talent_evaluation_competence_id,points,question_id,talent_answer_id,pending,question_category_id,,,,,,
138,2604,46,2,58,58,0,13,,,,,,
139,2604,47,0,56,56,0,13,,,,,,
140,2604,47,0,50,50,0,8,,,,,,
141,2604,47,0,49,49,0,8,,,,,,
142,2604,48,2,68,68,0,12,,,,,,
143,2604,48,2,45,45,0,11,,,,,,
144,2604,48,2,44,44,0,8,,,,,,
145,2604,49,0,61,61,0,12,,,,,,
146,2604,49,0,62,62,0,9,,,,,,
147,2604,49,0,63,63,0,10,,,,,,
148,2604,50,0,53,53,0,9,,,,,,
149,2604,50,0,66,66,0,12,,,,,,
150,2604,50,0,70,70,0,9,,,,,,
151,2605,51,0,52,52,0,8,,,,,,
152,2605,51,0,57,57,0,13,,,,,,
153,2605,51,0,58,58,0,13,,,,,,
154,2605,52,2,56,56,0,13,,,,,,
155,2605,52,2,50,50,0,8,,,,,,
156,2605,52,2,49,49,0,8,,,,,,
157,2605,53,0,68,68,0,12,,,,,,
158,2605,53,0,45,45,0,11,,,,,,
159,2605,53,0,44,44,0,8,,,,,,
160,2605,54,0,61,61,0,12,,,,,,
161,2605,54,0,62,62,0,9,,,,,,
162,2605,54,0,63,63,0,10,,,,,,
163,2605,55,2,53,53,0,9,,,,,,
164,2605,55,2,66,66,0,12,,,,,,
165,2605,55,2,70,70,0,9,,,,,,
166,2631,56,0,52,52,0,8,,,,,,
167,2631,56,0,57,57,0,13,,,,,,
168,2631,56,0,58,58,0,13,,,,,,
169,2631,57,0,56,56,0,13,,,,,,
170,2631,57,0,50,50,0,8,,,,,,
171,2631,57,0,49,49,0,8,,,,,,
172,2631,58,0,68,68,0,12,,,,,,
173,2631,58,0,45,45,0,11,,,,,,
174,2631,58,0,44,44,0,8,,,,,,
175,2631,59,0,61,61,0,12,,,,,,
176,2631,59,0,62,62,0,9,,,,,,
177,2631,59,0,63,63,0,10,,,,,,
178,2631,60,0,53,53,0,9,,,,,,
179,2631,60,0,66,66,0,12,,,,,,
180,2631,60,0,70,70,0,9,,,,,,
181,2632,61,2,52,52,0,8,,,,,,
182,2632,61,2,57,57,0,13,,,,,,
183,2632,61,2,58,58,0,13,,,,,,
184,2632,62,2,56,56,0,13,,,,,,
185,2632,62,2,50,50,0,8,,,,,,
186,2632,62,2,49,49,0,8,,,,,,
187,2632,63,0,68,68,0,12,,,,,,
188,2632,63,0,45,45,0,11,,,,,,
189,2632,63,0,44,44,0,8,,,,,,
190,2632,64,2,61,61,0,12,,,,,,
191,2632,64,2,62,62,0,9,,,,,,
192,2632,64,2,63,63,0,10,,,,,,
